adm_area,mun_district,gkh_address,gkh_total_floors,is_total_floors_variable,geo_lat,geo_lon,overlap_material,skeleton,wall_material,category,residents_qty,construction_year,ceiling_height,passenger_elevators_qty,condition,gkh_metro_station,metro_km,metro_min,gkh_cadastr_num,code_KLADR,global_repair_date,is_renov,renov_period,building_page_url,addr_winner
Восточный,Гольяново,"г. москва, ул. байкальская, д. 25, к. 4",5.0,,55.81896,37.80475,Железобетонные,Панельный,Крупнопанельные,муниципальный,336.0,1965.0,248.0,,Исправный,Щелковская,1.15,17.0,77:03:0002017:1031,7.70000000000792e+16,,1.0,2025-2028,https://flatinfo.ru/h_info1.asp?hid=53689,
Юго-Западный,Ломоносовский,"г. москва, пр-кт. ленинский, д. 85, к. 6",5.0,,55.67997,37.54098,железобетонные,Панельный,Крупнопанельные,муниципальный,184.0,1963.0,248.0,,Исправный,Отсутствует в пешей доступности,20.0,90.0,77:06:0003007:1024,7.70000000001689e+16,,1.0,2025-2028,https://flatinfo.ru/h_info1.asp?hid=70300,
Юго-Западный,Черемушки,"г. москва, ул. профсоюзная, д. 27, к. 5",5.0,,55.6733,37.56367,железобетонные,Кирпичный,Крупнопанельные,муниципальный,166.0,1961.0,248.0,,Исправный,Профсоюзная,0.55,9.0,77:06:0004004:1009,7.70000000002392e+16,,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=70694,
Центральный,Хамовники,"г. москва, пер. пуговишников, д. 15",5.0,,55.73165,37.58433,деревянные,Кирпичный,Кирпичные,муниципальный,100.0,1926.0,,1.0,Исправный,Фрунзенская,0.55,8.0,77:01:0005012:1053,7.70000000002409e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=186578,
Северо-Восточный,Останкинский,"г. москва, ул. новоостанкинская 3-я, д. 23",5.0,,55.82014,37.62911,Железобетонные,Блочный,Крупноблочные,муниципальный,,1962.0,258.0,,Исправный,ВДНХ,0.75,11.0,77:02:0022006:1040,7.7000000000204e+16,,1.0,2025-2028,https://flatinfo.ru/h_info1.asp?hid=52141,
Зеленоградский,Силино,"г. москва, г. зеленоград, к. 1118",22.0,,55.99596,37.18356,железобетонные,Панельный,Крупноблочные,муниципальный,496.0,1986.0,248.0,2.0,Исправный,Зеленоград,1.85,28.0,77:10:0001003:1028,7700000200000.0,,0.0,,https://flatinfo.ru/h_info1.asp?hid=68671,
Южный,Чертаново Южное,"г. москва, ш. варшавское, д. 139",24.0,1.0,55.59214,37.601929999999996,,,,,,2020.0,270.0,,,Улица Академика Янгеля,0.4,6.0,77:05:0008005:13107,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354028,
Новомосковский,СП Сосенское,"г. москва, п. коммунарка, ул. фитаревская, д. 17",25.0,,55.56649,37.47975,Железобетонные,Смешанный тип,Из прочих материалов,,260.0,2013.0,,3.0,Исправный,Коммунарка,1.05,16.0,77:17:0120303:796,7.70170000020007e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=242857,
Новомосковский,СП Сосенское,"г. москва, п. коммунарка, ул. фитаревская, д. 15",25.0,,55.56731,37.48019,Железобетонные,Смешанный тип,Из прочих материалов,,,2013.0,,3.0,Исправный,Коммунарка,1.1,17.0,77:17:0120303:2928,7.70170000020007e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=242855,
Северо-Восточный,Медведково Северное,"г. москва, проезд. шокальского, д. 55, к. 2",16.0,,55.88316999999999,37.65945,Железобетонные,Блочный,Крупнопанельные,муниципальный,632.0,1985.0,258.0,4.0,Исправный,Медведково,0.5,7.0,77:02:0004004:1014,7.70000000003159e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=61199,
Юго-Западный,Черемушки,"г. москва, ул. профсоюзная, д. 32",22.0,,55.67738000000001,37.560959999999994,Железобетонные,Монолитный,,,,2020.0,270.0,3.0,Исправный,Профсоюзная,0.15,3.0,77:06:0003009:9635,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354924,
Северо-Восточный,Лосиноостровский,"г. москва, ул. норильская, д. 9",20.0,,55.87755,37.694990000000004,,Монолитный,,,,2021.0,270.0,3.0,,Бабушкинская,2.15,33.0,77:02:0010007:4434,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353956,
Северо-Западный,Щукино,"г. москва, пер. пехотный 1-й, д. 2",27.0,,55.80598000000001,37.48359,,Монолитный,,,,2021.0,,,,Стрешнево,1.0,15.0,77:08:0009014:1465,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=348377,
Северо-Западный,Щукино,"г. москва, ул. новощукинская, д. 8",18.0,,55.80758,37.45671,Железобетонные,Монолитный,,,,2021.0,270.0,2.0,Исправный,Щукинская,0.5,8.0,77:08:0009004:8893,7.70000000002072e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=338421,
Южный,Даниловский,"г. москва, пер. пересветов, д. 9",12.0,,55.713409999999996,37.66299,,Монолитный,,,,2022.0,270.0,,,Автозаводская,0.75,12.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354938,
Зеленоградский,Старое Крюково,"г. москва, г. зеленоград, аллея. солнечная, к. 936",14.0,,55.980059999999995,37.18781,,Монолитный,,,,2022.0,270.0,,,Зеленоград,0.95,15.0,77:10:0002005:8282,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354969,
Новомосковский,СП Московский,"г. москва, г. московский, ул. москвитина, д. 1, к. 1",25.0,,55.59932,37.356559999999995,Железобетонные,Смешанный тип,Из прочих материалов,,,2016.0,266.0,3.0,Исправный,Филатов Луг,3.25,49.0,77:17:0110205:13730,7.70000060000034e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=294658,
Южный,Чертаново Центральное,"г. москва, ул. кировоградская, д. 32, к. 3",12.0,,55.60781,37.59635,Железобетонные,Панельный,Крупнопанельные,муниципальный,628.0,1972.0,264.0,2.0,Исправный,Пражская,0.7,11.0,77:05:0007005:1024,7.70000000001468e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=5624,
Северный,Дегунино Западное,"г. москва, ул. талдомская, д. 15",12.0,,55.8736,37.52153,Железобетонные,Блочный,Крупноблочные,ЖСК - жилищно-строительные кооперативы,140.0,1967.0,250.0,2.0,Исправный,Грачёвская,0.95,15.0,77:09:0002018:1018,7.70000000002863e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=84892,
Восточный,Преображенское,"г. москва, ул. черкизовская б., д. 6, к. 7",12.0,,55.79395,37.721090000000004,железобетонные,Блочный,Крупноблочные,ЖСК - жилищно-строительные кооперативы,,1966.0,250.0,2.0,Исправный,Преображенская Площадь,0.45,7.0,77:03:0003016:1081,7.70000000003088e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=46120,
Северный,Ховрино,"г. москва, ул. дыбенко, д. 36, к. 1",17.0,,55.87611999999999,37.48447,Железобетонные,Панельный,Крупнопанельные,муниципальный,480.0,2007.0,275.0,1.0,Исправный,Ховрино,0.35,5.0,77:09:0001008:1167,7.70000000001254e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=151517,
Центральный,Мещанский,"г. москва, ул. верземнека, д. 1",8.0,,55.78937,37.62859,железобетонные,Кирпичный,Кирпичные,муниципальный,133.0,1960.0,270.0,1.0,Исправный,Рижская,0.6,9.0,77:01:0003057:1008,7.70000000000952e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=44031,
Центральный,Таганский,"г. москва, пр-кт. волгоградский, д. 1, стр. 1",13.0,,55.73319,37.6716,Железобетонные,Блочный,Крупнопанельные,,935.0,1968.0,264.0,2.0,Исправный,Пролетарская,0.4,6.0,77:01:0006040:1015,7.70000000000013e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=228552,
Северо-Западный,Тушино Северное,"г. москва, ул. героев панфиловцев, д. 3, к. 1",9.0,,55.855059999999995,37.43584,железобетонные,Панельный,Крупнопанельные,муниципальный,1140.0,1968.0,264.0,1.0,Исправный,Сходненская,0.55,8.0,77:08:0003007:1014,7.70000000001073e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=55108,
Центральный,Хамовники,"г. москва, пер. гагаринский, д. 23, стр. 1",5.0,,55.744640000000004,37.59313,смешанные,Кирпичный,Кирпичные,муниципальный,46.0,1910.0,,1.0,Исправный,Кропоткинская,0.7,10.0,77:01:0001049:1046,7.70000000007057e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=96546,
Зеленоградский,Старое Крюково,"г. москва, г. зеленоград, к. 848",19.0,,55.97722,37.18535,Железобетонные,Монолитный,,,,2013.0,,2.0,Исправный,Зеленоград,0.9,13.0,77:10:0002006:4881,7700000200000.0,,0.0,,https://flatinfo.ru/h_info1.asp?hid=339447,
Новомосковский,СП Сосенское,"г. москва, п. коммунарка, ул. фитаревская, д. 19",25.0,,55.56599,37.47928,Железобетонные,Смешанный тип,Из прочих материалов,,263.0,2013.0,,3.0,Исправный,Коммунарка,0.95,15.0,77:17:0120303:2249,7.70170000020007e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=242856,
Зеленоградский,Крюково,"г. москва, г. зеленоград, к. 2032",10.0,,55.97261999999999,37.17412,,Монолитный,Бетонные Монолитные,,,2014.0,,2.0,Исправный,Зеленоград,0.95,14.0,77:10:0006008:7390,7700000200000.0,,0.0,,https://flatinfo.ru/h_info1.asp?hid=282967,
Новомосковский,СП Сосенское,"г. москва, п. коммунарка, ул. александры монаховой, д. 23",18.0,1.0,55.56915,37.47982,Железобетонные,Смешанный тип,Из прочих материалов,,,2014.0,,2.0,Исправный,Коммунарка,1.25,19.0,77:17:0120303:8873,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=270079,
Зеленоградский,Крюково,"г. москва, г. зеленоград, к. 2044",9.0,,55.97108000000001,37.17488,,Монолитный,Железобетонные Монолитные,,,2014.0,,2.0,Исправный,Зеленоград,1.1,17.0,77:10:0006008:7234,7700000200000.0,,0.0,,https://flatinfo.ru/h_info1.asp?hid=242064,
Троицкий,СП Михайлово-Ярцевское,"г. москва, п. секерино, д. 1а",3.0,,55.41865,37.1511,Железобетонные,Смешанный тип,Из прочих материалов,,54.0,2013.0,,,Исправный,Отсутствует в пешей доступности,20.0,90.0,77:22:0030118:584,7701000001200.0,,0.0,,https://flatinfo.ru/h_info1.asp?hid=267231,
Северный,Бескудниковский,"г. москва, б-р. бескудниковский, д. 11, к. 1",18.0,1.0,55.86244,37.56038,Железобетонные,Панельный,Железобетонные,,,2016.0,280.0,2.0,Исправный,Верхние Лихоборы,0.7,11.0,77:09:0002026:15541,7.70000000000852e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=310896,
Северо-Восточный,Лосиноостровский,"г. москва, ул. изумрудная, д. 34",16.0,,55.87486,37.688559999999995,,Монолитный,,,,2021.0,270.0,2.0,,Бабушкинская,1.7,25.0,77:02:0010010:3598,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353957,
Зеленоградский,Крюково,"г. москва, г. зеленоград, пр-кт. георгиевский, к. 1936",17.0,,55.9712,37.18135,,Монолитный,,,,2022.0,270.0,3.0,,Зеленоград,1.2,18.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354913,
Центральный,Басманный,"г. москва, ул. макаренко, д. 4, стр. 2",3.0,,55.76093,37.64788,деревянные,Кирпичный,Кирпичные,муниципальный,13.0,1904.0,,,Исправный,Чистые Пруды,0.75,12.0,77:01:0001030:1030,7.70000000001776e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=97847,
Новомосковский,СП Десеновское,"г. москва, п. десеновское, ул. кварцевая, д. 5, к. 3",16.0,,55.48793000000001,37.33532,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385476,
Северо-Западный,Тушино Южное,"г. москва, ул. сходненская, д. 12, к. 1",22.0,,55.839130000000004,37.439370000000004,,,,,,2021.0,267.0,,Исправный,Сходненская,1.3,20.0,77:08:0004014:3829,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354931,
Троицкий,ГО Троицк,"г. москва, г. троицк, ул. академика черенкова, д. 15",7.0,,55.465869999999995,37.28542,,Панельный,,,,2021.0,270.0,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354951,
Северо-Восточный,Бабушкинский,"г. москва, ул. осташковская, д. 9, к. 2",19.0,,55.87758,37.676829999999995,,Монолитный,,,,2022.0,270.0,,,Бабушкинская,1.25,19.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354972,
Юго-Западный,Черемушки,"г. москва, пр-кт. севастопольский, д. 28, к. 9",14.0,,55.66393000000001,37.57163,,Монолитный,,,,2021.0,270.0,,,Зюзино,0.95,15.0,77:06:0004008:13632,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354982,
Юго-Восточный,Нижегородский,"г. москва, ш. фрезер, д. 7/2",14.0,,55.739909999999995,37.73674000000001,Железобетонные,Панельный,,,,2020.0,260.0,2.0,Исправный,Андроновка,0.7,11.0,77:04:0002001:8313,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353915,
Юго-Западный,Котловка,"г. москва, ул. нагорная, д. 13",14.0,,55.67965,37.608109999999996,Железобетонные,Монолитный,,,,2018.0,,2.0,Исправный,Нагорная,0.8,12.0,77:06:0002018:5872,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353846,
Западный,Фили-Давыдково,"г. москва, ул. филевская м., д. 22",22.0,1.0,55.73692,37.46537,Железобетонные,Монолитный,Железобетонные Монолитные,муниципальный,,2018.0,270.0,5.0,Исправный,Пионерская,0.2,3.0,77:07:0005001:9826,7.70000000002992e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=19653,
Западный,Проспект Вернадского,"г. москва, пр-кт. вернадского, д. 69",23.0,,55.67093000000001,37.506029999999996,Железобетонные,Монолитный,Железобетонные Монолитные,,211.0,2016.0,270.0,4.0,Исправный,Проспект Вернадского,0.75,12.0,77:07:0013007:23079,7.70000000000953e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=294090,
Западный,Проспект Вернадского,"г. москва, пр-кт. вернадского, д. 73",17.0,,55.67241,37.507020000000004,Железобетонные,Монолитный,,,,2018.0,270.0,2.0,Исправный,Проспект Вернадского,0.6,9.0,77:07:0013007:23329,7.70000000000953e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=337416,
Северо-Западный,Щукино,"г. москва, ул. маршала вершинина, д. 4, к. 1",5.0,,55.79213000000001,37.48892,Железобетонные,Блочный,Крупноблочные,муниципальный,,1964.0,258.0,,Исправный,Октябрьское Поле,0.35,5.0,77:08:0009026:1002,7.70000000000957e+16,,1.0,2025-2028,https://flatinfo.ru/h_info1.asp?hid=41112,
Северный,Бескудниковский,"г. москва, ш. дмитровское, д. 68",18.0,1.0,55.85875,37.55985,Железобетонные,Панельный,Кирпичные,муниципальный,,2016.0,275.0,2.0,Исправный,Верхние Лихоборы,0.3,5.0,77:09:0002026:14760,7.70000000000335e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=56205,
Северный,Бескудниковский,"г. москва, б-р. бескудниковский, д. 13",18.0,1.0,55.863659999999996,37.55851,Железобетонные,Кирпичный,Железобетонные,,,2016.0,280.0,2.0,Исправный,Верхние Лихоборы,0.85,13.0,77:09:0002026:16157,7.70000000000852e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=310898,
Юго-Восточный,Южнопортовый,"г. москва, ул. петра романова, д. 18",12.0,,55.70433000000001,37.68248,Железобетонные,Монолитный,,,,2021.0,272.0,2.0,Исправный,Кожуховская,0.35,5.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354003,
Троицкий,СП Михайлово-Ярцевское,"г. москва, п. михайлово-ярцевское, п. секерино, д. 1а",3.0,,55.41865,37.1511,Железобетонные,Смешанный тип,Из прочих материалов,,54.0,2013.0,,,Исправный,Отсутствует в пешей доступности,20.0,90.0,77:22:0030118:584,7701000001200.0,,0.0,,https://flatinfo.ru/h_info1.asp?hid=267231,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 5, к. 2",12.0,,55.488719999999994,37.33627,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385475,
Новомосковский,СП Десеновское,"г. москва, п. десеновское, ул. кварцевая, д. 2, к. 4",12.0,,55.491730000000004,37.335879999999996,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385465,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 2, к. 4",12.0,,55.491730000000004,37.335879999999996,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385465,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 3, к. 2",12.0,,55.48969,37.33874,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385473,
Троицкий,ГО Троицк,"г. москва, г. троицк, ул. академика черенкова, д. 17",7.0,,55.464859999999994,37.28461,,,,,,2021.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354950,
Северный,Бескудниковский,"г. москва, б-р. бескудниковский, д. 5",20.0,1.0,55.85953000000001,37.56116,Железобетонные,Панельный,Крупноблочные,,,2017.0,270.0,2.0,Исправный,Верхние Лихоборы,0.45,7.0,77:09:0002026:14995,7.70000000000852e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=323019,
Центральный,Басманный,"г. москва, ул. басманная нов., д. 12, стр. 3",3.0,,55.76868,37.65742,деревянные,Кирпичный,Кирпичные,муниципальный,28.0,1917.0,310.0,,Исправный,Красные Ворота,0.55,8.0,77:01:0003009:1005,7.70000000000627e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=72670,
Западный,Кунцево,"г. москва, ул. бобруйская, д. 15/1",11.0,,55.73806999999999,37.39711,,Монолитный,,,,2021.0,267.0,2.0,,Молодежная,1.3,20.0,77:07:0004003:10293,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354907,
Южный,Бирюлево Западное,"г. москва, проезд. харьковский, д. 1/1, к. 2",14.0,,55.59599,37.64967,,,,,,2021.0,,,,Покровская,1.4,21.0,77:05:0009002:13387,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385037,
Северо-Восточный,Бабушкинский,"г. москва, ул. коминтерна, д. 12",17.0,,55.8626,37.67769000000001,Железобетонные,Панельный,,,,2019.0,260.0,2.0,Исправный,Бабушкинская,1.2,18.0,,7.70000000001517e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=335243,
Северо-Западный,Тушино Северное,"г. москва, ул. туристская, д. 14",18.0,,55.853530000000006,37.42299000000001,Железобетонные,Монолитный,,,,2021.0,270.0,2.0,Исправный,Сходненская,1.15,17.0,77:08:0003007:14851,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353802,
Северный,Головинский,"г. москва, б-р. кронштадтский, д. 55а",22.0,,55.85369,37.51445,,Монолитный,,,,2021.0,270.0,3.0,Исправный,Моссельмаш,1.3,19.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353974,
Северо-Западный,Тушино Южное,"г. москва, б-р. химкинский, д. 19, к. 1",5.0,,55.8495,37.44504000000001,железобетонные,Кирпичный,Кирпичные,муниципальный,261.0,1964.0,248.0,,Исправный,Сходненская,0.4,6.0,77:08:0004008:1009,7.70000000003028e+16,,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=55041,
Северо-Западный,Тушино Южное,"г. москва, б-р. химкинский, д. 19, к. 2",5.0,,55.84941,37.44403,железобетонные,Кирпичный,Кирпичные,муниципальный,289.0,1964.0,248.0,,Исправный,Сходненская,0.35,5.0,77:08:0004008:1010,7.70000000003028e+16,,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=71692,
Юго-Восточный,Кузьминки,"г. москва, ул. юных ленинцев, д. 70",5.0,,55.69839,37.77321,железобетонные,Панельный,Крупнопанельные,муниципальный,263.0,1963.0,248.0,,Исправный,Кузьминки,0.95,14.0,77:04:0004006:1170,7.7000000000001e+16,,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=15788,
Восточный,Гольяново,"г. москва, ул. чусовская, д. 11, к. 5",5.0,,55.81455,37.81009,Железобетонные,Панельный,Крупнопанельные,ЖСК - жилищно-строительные кооперативы,265.0,1965.0,248.0,,Исправный,Щелковская,0.9,14.0,77:03:0002015:1052,7.70000000003132e+16,,1.0,2025-2028,https://flatinfo.ru/h_info1.asp?hid=53626,
Юго-Западный,Коньково,"г. москва, пр-кт. севастопольский, д. 60",22.0,,55.63988000000001,37.54539000000001,,Монолитный,,,,2021.0,272.0,3.0,,Беляево,1.3,20.0,77:06:0008005:5568,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353841,
Северо-Восточный,Медведково Южное,"г. москва, ул. молодцова, д. 15, к. 2",22.0,,55.87744,37.63441,Железобетонные,Панельный,Крупнопанельные,,395.0,2012.0,266.0,1.0,Исправный,Медведково,2.05,31.0,77:02:0006002:11201,7.70000000001892e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=229017,
Центральный,Пресненский,"г. москва, ул. мантулинская, д. 10",5.0,,55.75666,37.55471,Деревянные,Кирпичный,Кирпичные,муниципальный,227.0,1926.0,300.0,1.0,Исправный,Улица 1905 года,1.05,16.0,77:01:0004035:1005,7.70000000001788e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=27697,
Северный,Дмитровский,"г. москва, ул. долгопрудная, д. 7",17.0,,55.89333000000001,37.53922,,Панельный,,,,2020.0,260.0,2.0,,Лианозово,0.75,11.0,77:09:0002010:4490,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354045,
Центральный,Пресненский,"г. москва, ул. красногвардейская 3-я, д. 6",5.0,,55.75822,37.54085,Железобетонные,Панельный,Крупноблочные,муниципальный,150.0,1961.0,258.0,,Исправный,Тестовская,0.75,11.0,77:01:0004039:1007,7.70000000001579e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=28848,
Северо-Западный,Хорошево-Мневники,"г. москва, ул. демьяна бедного, д. 5",9.0,,55.7728,37.48679,Железобетонные,Монолитный,Железобетонные Монолитные,,212.0,2014.0,,1.0,Исправный,Народное Ополчение,0.35,5.0,77:08:0010012:6140,7.70000000003248e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=239946,
Центральный,Якиманка,"г. москва, ул. якиманка б., д. 35, стр. 1",6.0,,55.73459,37.61354,деревянные,Кирпичный,Кирпичные,муниципальный,31.0,1900.0,,1.0,Исправный,Полянка,0.45,7.0,77:01:0002003:1047,7.70000000007019e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=184935,
Центральный,Хамовники,"г. москва, ул. пироговская м., д. 9/6",6.0,,55.73,37.57205,деревянные,Кирпичный,Кирпичные,муниципальный,66.0,1933.0,,1.0,Исправный,Фрунзенская,0.65,10.0,77:01:0005008:1062,7.70000000002287e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=186785,
Северный,Коптево,"г. москва, пер. михалковский 3-й, д. 15",5.0,,55.83566999999999,37.52627,Железобетонные,Кирпичный,Кирпичные,муниципальный,,1960.0,280.0,,Исправный,Коптево,0.65,10.0,77:08:0014001:1014,7.70000000001876e+16,,1.0,2029-2032,https://flatinfo.ru/h_info1.asp?hid=50747,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 5, к. 1",13.0,,55.48885,37.33774,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385474,
Новомосковский,СП Десеновское,"г. москва, п. десеновское, ул. кварцевая, д. 5, к. 1",13.0,,55.48885,37.33774,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385474,
Юго-Восточный,Выхино-Жулебино,"г. москва, ул. академика скрябина, д. 3/1, к. 4",22.0,,55.71174,37.80367,,,,,,2022.0,,,,Рязанский Проспект,0.9,14.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385963,
Новомосковский,СП Десеновское,"г. москва, ул. кварцевая, д. 2, к. 1",13.0,,55.49137,37.33726,,,,,,2022.0,,,,Отсутствует в пешей доступности,20.0,90.0,,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385464,
Центральный,Басманный,"г. москва, пер. казенный б., д. 10, стр. 1",7.0,1.0,55.76015,37.65624,деревянные,Кирпичный,Кирпичные,муниципальный,,1880.0,320.0,,Исправный,Курская,0.35,6.0,77:01:0001029:1041,7.70000000007007e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=33770,
,Подольск,"г. москва, г. подольск, ул. юбилейная, д. 3, к. 2",18.0,1.0,55.42032,37.49811,железобетонные,Панельный,Из прочих материалов,,751.0,2009.0,,2.0,Исправный,Подольск,4.55,68.0,50:55:0000000:3014,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=224788,
Северо-Восточный,Ярославский,"г. москва, ш. ярославское, д. 116, к. 1",16.0,,55.86702,37.70874,Железобетонные,Блочный,Крупноблочные,муниципальный,514.0,1980.0,258.0,4.0,Исправный,Бабушкинская,2.9,44.0,77:02:0013009:1008,7.70000000003221e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=58394,
Восточный,Соколиная Гора,"г. москва, ул. буракова, д. 7, к. 2",5.0,,55.76453000000001,37.72926,железобетонные,Блочный,Крупноблочные,муниципальный,185.0,1963.0,258.0,,Исправный,Сортировочная,0.6,9.0,77:03:0004005:1029,7.70000000000386e+16,,1.0,2025-2028,https://flatinfo.ru/h_info1.asp?hid=36441,
Восточный,Сокольники,"г. москва, ул. боевская 2-я, д. 6",5.0,,55.79049000000001,37.69048,Железобетонные,Кирпичный,Кирпичные,муниципальный,88.0,1910.0,300.0,1.0,Исправный,Сокольники,0.75,11.0,77:03:0003008:1010,7.70000000000875e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=45887,
Восточный,Измайлово,"г. москва, проезд. измайловский, д. 5/1, к. 4",14.0,,55.79839000000001,37.76567,,,,,,2021.0,,,Исправный,Локомотив,1.5,22.0,77:03:0005001:11800,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=353925,
Юго-Восточный,Кузьминки,"г. москва, пр-кт. волгоградский, д. 103а",22.0,,55.70858000000001,37.75658,,,,,,2020.0,270.0,3.0,,Кузьминки,0.7,11.0,77:04:0002018:9241,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354852,
Восточный,Косино-Ухтомский,"г. москва, ул. салтыковская, д. 6/1, к. 7",25.0,,55.72476,37.86256,,,,,,2022.0,,,,Улица Дмитриевского,1.9,28.0,77:03:0010003:3027,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=385215,
Зеленоградский,Старое Крюково,"г. москва, г. зеленоград, к. 901б",23.0,,55.98154,37.19294,,,,,,2022.0,,2.0,,Зеленоград,1.25,19.0,77:10:0002005:8000,,,0.0,,https://flatinfo.ru/h_info1.asp?hid=354971,
Северо-Восточный,Северный,"г. москва, аллея. долгопрудная, д. 14, к. 2",14.0,,55.94173000000001,37.52767,,,,,,2018.0,255.0,2.0,Исправный,Долгопрудная,0.6,9.0,,7.70000000004097e+16,,0.0,,https://flatinfo.ru/h_info1.asp?hid=338374,
